Date,Residential electricity price,Natural Gas Prices,Revenue,Sales,Customers,Total Generation,Average_load_DOM,HDD,CDD
202002,12.07,10.95,448220,3714713,3484488,8415.47,11611.86,320.1,0
202001,11.63,11.9,536828,4615565,3482885,9328.65,12004.71,374.8,0.5
201912,11.73,11.86,524252,4468257,3480381,8401.77,11879.34,362.1,0
201911,12.12,11.77,422918,3490816,3479596,6263.77,11078.86,312.6,0
201910,12.39,18.56,365483,2949157,3476071,5987.89,10004.41,63.5,44.2
201909,12.14,20.73,454646,3743621,3472538,7691.46,11883.29,1.3,167.6
201908,12.44,22.5,542274,4358126,3470196,9631.73,12964.53,0,228.6
201907,12.16,21.48,616610,5068867,3466707,10043.73,13858.25,0,274.7
201906,12.56,19.89,481308,3831230,3461070,8718.06,11972.5,1.7,174.2
201905,12.46,17.52,393049,3153353,3458781,6573.25,11100.1,17.1,127.9
201904,12.44,13.06,341522,2746416,3455941,6257.72,9591.83,86.3,29.3
201903,11.78,11.4,451980,3837152,3454148,7305.13,11093.49,318.9,2
201902,11.55,11.38,469518,4066311,3451231,7967.11,11913.96,333.8,0
201901,11.48,10.73,568505,4952858,3449453,8527.55,12964.61,463,0
201812,10.97,11.36,506479,4618825,3448028,8477.16,11949.04,381.3,0
201811,11.6,11.92,406146,3500191,3444237,6868.98,11023.6,296,4.2
201810,11.84,15.98,375124,3169097,3440256,5833.51,10384.8,114.3,68.3
201809,12.01,19.7,453958,3780443,3437276,8190.93,11988.9,2.9,185.5
201808,12.27,20.67,550424,4485672,3437024,9196.71,13146.79,0,244.5
201807,12.26,20.57,555028,4526825,3430885,8844.46,12797.05,0,224.8
201806,12.33,18.33,491897,3989333,3429127,8281.37,12120.76,1.1,182.3
201805,12.22,14.27,384141,3143794,3425429,6736.8,10873.71,8.2,132.3
201804,11.79,10.99,369365,3132203,3424379,5686.24,9576.15,176.2,10.7
201803,11.67,9.41,442783,3794910,3422530,7263.7,11344.86,377.1,1.9
201802,11.41,11.66,436327,3823352,3419165,7368.96,11232.37,281.4,4.3
201801,10.88,10.08,652805,5997961,3420559,8457.34,13867.79,514.4,0.2
